Business name,Business type,Business address,On map,Lat,Long
Afro Deli,in-person,720 Washington Ave SE,TRUE,44.974,-93.2277
Dragon Wok,in-person,805 E 38th St,FALSE,,
Beauty Bakerie,online,https://www.beautybakerie.com/,FALSE,,
Queen Anna House of Fashion,in-person,109 N 2nd St,FALSE,,
New Dawn Theatre Company,in-person,2500 Crobsy Farm Rd,FALSE,,
BLK and Bold,online,https://blkandbold.com/,FALSE,,
Adorned by Chi,online,https://shop.adornedbychi.com/,FALSE,,
Form Beauty,online,https://formbeauty.com/,FALSE,,
Soul Bowl,in-person,520 N 4th St,FALSE,,
Trio Plant-based,in-person,610 W Lake St,FALSE,,
The Red Sea,in-person,320 Cedar Ave South,FALSE,,
The Nail Bar,in-person,3501 Hennepin Ave,FALSE,,
The Beauty Lounge,in-person,3501 Hennepin Ave S,FALSE,,
Brian Graham Salon,in-person,220 N Washington Ave,FALSE,,
Captain Rebel,in-person,904 1/2 W Lake St,FALSE,,
Elsa's House of Sleep,in-person,3540 E Lake St,FALSE,,
Lions Gym and Wellness Center,in-person,4123 W Broadway Ave,FALSE,,
We Buy Black,online,https://webuyblack.com/,FALSE,,
Black Girl Sunscreen,online,https://www.blackgirlsunscreen.com/,FALSE,,
Golde,online,https://golde.co/,FALSE,,
Mented Cosmetics,online,https://www.mentedcosmetics.com/,FALSE,,
The Bark Shoppe,online,https://www.thebarkshoppe.com/,FALSE,,
PUR Home,online,https://pur-home.com/,FALSE,,
Kara Hinson Art,online,https://www.karahinson.com/,FALSE,,
Crown Candle Co,online,https://www.crowncandleco.com/,FALSE,,
Bole Road Textiles,online,https://boleroadtextiles.com/,FALSE,,
